Time,TPS,Latency
14.578044,8830.508274,0.000000
14.580125,8831.105586,0.000000
14.594743,8830.112708,0.000000
14.598049,8830.741480,0.000000
14.598962,8831.413258,0.000000
14.599268,8831.774486,0.000000
14.599303,8831.199830,0.000000
14.599328,8823.039988,0.000000
14.599821,8821.726819,0.000000
14.600144,8821.859898,0.000000
14.603689,8822.360059,0.000000
14.604131,8823.023999,0.000000
14.604776,8823.693702,0.000000
14.605591,8824.080587,0.000000
14.605820,8824.570447,0.000000
14.605905,8823.113320,0.000000
14.606418,8823.530796,0.000000
14.606979,8823.825673,0.000000
14.607820,8824.017943,0.000000
14.607917,8824.564681,0.000000
14.609315,8825.197552,0.000000
14.610443,8825.572430,0.000000
14.617951,8825.917774,0.000000
14.618539,8826.094315,0.000000
14.618626,8826.720369,0.000000
14.618726,8826.560037,0.000000
14.620140,8826.563301,0.000000
14.620202,8822.713659,0.000000
14.620453,8823.042872,0.000000
14.621041,8823.674849,0.000000
14.622377,8824.298394,0.000000
14.625879,8824.129209,0.000000
14.625983,8824.775321,0.000000
14.626718,8825.307944,0.000000
14.627451,8825.636769,0.000000
14.628901,8825.514534,0.000000
14.629102,8824.085311,0.000000
14.629421,8824.706255,0.000000
14.647233,8824.946364,0.000000
14.647701,8825.187656,0.000000
14.648958,8824.996567,0.000000
14.653214,8825.558757,0.000000
14.665330,8826.049766,0.000000
14.667671,8815.999782,0.000000
14.670716,8816.400583,0.000000
14.673720,8816.326756,0.000000
14.675133,8814.448664,0.000000
14.685020,8807.848420,0.000000
14.685225,8807.124035,0.000000
14.685300,8805.977815,0.000000
14.685347,8804.856298,0.000000
14.685367,8804.690070,0.000000
14.685522,8799.443317,0.000000
14.685311,8800.001162,0.000000
14.685433,8800.637422,0.000000
14.685585,8801.971357,0.000000
14.685614,8802.640320,0.000000
14.685642,8803.909347,0.000000
14.685672,8801.311957,0.000000
14.685792,8803.281480,0.000000
14.685688,8804.552094,0.000000
14.685840,8805.215946,0.000000
14.685657,8805.879745,0.000000
14.686053,8807.223753,0.000000
14.687271,8808.513773,0.000000
14.687295,8807.895367,0.000000
14.691424,8809.165861,0.000000
14.691804,8806.551637,0.000000
14.692070,8809.719065,0.000000
14.692152,8809.669196,0.000000
14.692198,8810.335636,0.000000
